section,metric,tier,model,comparison,value,n,lambda,reference_policy,excluded_tasks
tier,mean_regret,easy,gen_32b,,0.00964229,24,0.005,S1-n5,Mbpp_793
tier,mean_regret,easy,gen_8b,,0.16519966,117,0.005,S1-n5,Mbpp_793
tier,model_difference,easy,,gen_8b-gen_32b,0.15555737,24,0.005,S1-n5,Mbpp_793
tier,mean_regret,medium,gen_32b,,0.00706729,24,0.005,S1-n5,Mbpp_793
tier,mean_regret,medium,gen_8b,,0.10399354,123,0.005,S1-n5,Mbpp_793
tier,model_difference,medium,,gen_8b-gen_32b,0.09692624,24,0.005,S1-n5,Mbpp_793
tier,mean_regret,hard,gen_32b,,0.00733000,3,0.005,S1-n5,Mbpp_793
tier,mean_regret,hard,gen_8b,,0.12524914,110,0.005,S1-n5,Mbpp_793
tier,model_difference,hard,,gen_8b-gen_32b,0.11791914,3,0.005,S1-n5,Mbpp_793
difficulty,hard_minus_easy,,gen_32b,hard-easy,-0.00231229,27,0.005,S1-n5,Mbpp_793
difficulty,hard_minus_easy,,gen_8b,hard-easy,-0.03995052,227,0.005,S1-n5,Mbpp_793
paired,paired_mean_difference,,,gen_8b-gen_32b,0.09924051,117,0.005,S1-n5,Mbpp_793
paired,paired_t_analogue,,,gen_8b-gen_32b,3.99893928,117,0.005,S1-n5,Mbpp_793
regression,standardized_coefficient,,difficulty,,-0.02156811,701,0.005,S1-n5,Mbpp_793
regression,standardized_coefficient,,model_size,,0.07548867,701,0.005,S1-n5,Mbpp_793
regression,pearson_correlation,,difficulty,,0.14736784,701,0.005,S1-n5,Mbpp_793
regression,pearson_correlation,,model_size,,0.26691557,701,0.005,S1-n5,Mbpp_793
