policy,lambda,mean_regret,regret_ci_lo,regret_ci_hi,mean_utility,mean_quality,mean_cost,mean_stop_round,n
S1-n1,0.0,0.4331,0.3836,0.4829,0.5143,0.5143,1.84,1.00,350
S1-n3,0.0,0.1243,0.0923,0.1596,0.8231,0.8231,5.55,3.00,350
S1-n5,0.0,0.1083,0.0787,0.1406,0.8391,0.8391,8.54,5.00,350
S1-n8,0.0,0.0942,0.0652,0.1243,0.8532,0.8532,13.03,8.00,350
S1-n10,0.0,0.1110,0.0795,0.1436,0.8364,0.8364,15.99,10.00,350
S1-n15,0.0,0.0864,0.0591,0.1142,0.8610,0.8610,23.49,15.00,350
S2,0.0,0.0073,0.0020,0.0142,0.9402,0.9402,4.50,1.87,350
S3,0.0,0.0864,0.0591,0.1142,0.8610,0.8610,23.49,15.00,350
S4,0.0,0.0470,0.0267,0.0682,0.9004,0.9004,11.24,5.24,350
S5,0.0,0.0864,0.0591,0.1142,0.8610,0.8610,23.49,15.00,350
S6,0.0,0.1598,0.1241,0.1976,0.7876,0.7876,7.76,4.02,350
S7,0.0,0.0499,0.0304,0.0715,0.8975,0.8975,11.43,5.31,350
S8,0.0,0.2573,0.2111,0.2998,0.6902,0.6902,5.21,2.94,350
S1-n1,0.005,0.4224,0.3741,0.4710,0.5051,0.5143,1.84,1.00,350
S1-n3,0.005,0.1321,0.1006,0.1669,0.7954,0.8231,5.55,3.00,350
S1-n5,0.005,0.1311,0.1015,0.1638,0.7964,0.8391,8.54,5.00,350
S1-n8,0.005,0.1394,0.1090,0.1712,0.7881,0.8532,13.03,8.00,350
S1-n10,0.005,0.1711,0.1381,0.2055,0.7564,0.8364,15.99,10.00,350
S1-n15,0.005,0.1839,0.1542,0.2145,0.7436,0.8610,23.49,15.00,350
S2,0.005,0.0099,0.0040,0.0173,0.9177,0.9402,4.50,1.87,350
S3,0.005,0.1839,0.1542,0.2145,0.7436,0.8610,23.49,15.00,350
S4,0.005,0.0833,0.0594,0.1096,0.8442,0.9004,11.24,5.24,350
S5,0.005,0.1839,0.1542,0.2145,0.7436,0.8610,23.49,15.00,350
S6,0.005,0.1787,0.1431,0.2175,0.7488,0.7876,7.76,4.02,350
S7,0.005,0.0871,0.0628,0.1136,0.8404,0.8975,11.43,5.31,350
S8,0.005,0.2634,0.2179,0.3053,0.6641,0.6902,5.21,2.94,350
S1-n1,0.02,0.3926,0.3471,0.4386,0.4775,0.5143,1.84,1.00,350
S1-n3,0.02,0.1579,0.1266,0.1927,0.7122,0.8231,5.55,3.00,350
S1-n5,0.02,0.2019,0.1705,0.2363,0.6682,0.8391,8.54,5.00,350
S1-n8,0.02,0.2774,0.2419,0.3145,0.5927,0.8532,13.03,8.00,350
S1-n10,0.02,0.3536,0.3144,0.3944,0.5165,0.8364,15.99,10.00,350
S1-n15,0.02,0.4788,0.4378,0.5200,0.3913,0.8610,23.49,15.00,350
S2,0.02,0.0200,0.0086,0.0343,0.8501,0.9402,4.50,1.87,350
S3,0.02,0.4788,0.4378,0.5200,0.3913,0.8610,23.49,15.00,350
S4,0.02,0.1945,0.1550,0.2365,0.6756,0.9004,11.24,5.24,350
S5,0.02,0.4788,0.4378,0.5200,0.3913,0.8610,23.49,15.00,350
S6,0.02,0.2378,0.1969,0.2815,0.6323,0.7876,7.76,4.02,350
S7,0.02,0.2011,0.1612,0.2437,0.6690,0.8975,11.43,5.31,350
S8,0.02,0.2842,0.2394,0.3255,0.5859,0.6902,5.21,2.94,350
